,PlaylistID,Song,SongURI,PreviewLink,Album,Artist,Genres,BigAlbumArt,SmallAlbumArt,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,TimeSignature
60,5gUZgKtFX3vczXE8fItSxo,She Is Gone,spotify:track:2FSuudcoj4bLxcr6uC1rcK,https://p.scdn.co/mp3-preview/7891342da3c6b40bd11e504e61cd443cafb98f3a?cid=8ea9544c774649e49a2c2e41feb74396,Spirit,Willie Nelson,[],https://i.scdn.co/image/ab67616d00001e022314e08a2fcb6021c5ebc9fe,https://i.scdn.co/image/ab67616d000048512314e08a2fcb6021c5ebc9fe,0.534,0.159,9,-16.873,1,0.04,0.87,0.227,0.111,0.295,79.372,175160,4
61,5gUZgKtFX3vczXE8fItSxo,The Prayer,spotify:track:1t61EARAxEkTpCq91bd3N5,,These Are Special Times,Céline Dion,[],https://i.scdn.co/image/ab67616d00001e0284bf072548367ea06fa46ab0,https://i.scdn.co/image/ab67616d0000485184bf072548367ea06fa46ab0,0.234,0.321,10,-8.513,1,0.0336,0.82,3.39e-06,0.115,0.0504,82.388,268933,5
62,5gUZgKtFX3vczXE8fItSxo,My Sweet Lord - Remastered 2014,spotify:track:0qdQUeKVyevrbKhAo0ibxS,,All Things Must Pass (Remastered 2014),George Harrison,[],https://i.scdn.co/image/ab67616d00001e02acc11d868a59008935e72299,https://i.scdn.co/image/ab67616d00004851acc11d868a59008935e72299,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,281227,4
63,5gUZgKtFX3vczXE8fItSxo,Shadow of the Day,spotify:track:0OYcEfskah1egYHjYRvbg1,https://p.scdn.co/mp3-preview/a449bc921683b202afdd3149b67ad9487c666185?cid=8ea9544c774649e49a2c2e41feb74396,Minutes to Midnight,Linkin Park,[],https://i.scdn.co/image/ab67616d00001e026e996745f2c7b8036abef213,https://i.scdn.co/image/ab67616d000048516e996745f2c7b8036abef213,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4
64,5gUZgKtFX3vczXE8fItSxo,Goodbye My Lover,spotify:track:6gxycjJNMgmAyfzUXBN80P,https://p.scdn.co/mp3-preview/1c0e9e04da74c069fb87ab15d25356e35dbf84e7?cid=8ea9544c774649e49a2c2e41feb74396,Back to Bedlam,James Blunt,[],https://i.scdn.co/image/ab67616d00001e02105f043a4f470cf58cc01ccf,https://i.scdn.co/image/ab67616d00004851105f043a4f470cf58cc01ccf,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,258653,4
65,5gUZgKtFX3vczXE8fItSxo,Raging Sea,spotify:track:7fOm56AAMAYafjmnK1dnxg,https://p.scdn.co/mp3-preview/3251d57dcc4bcf79ea95d498665bdb06049697eb?cid=8ea9544c774649e49a2c2e41feb74396,The Second Decade 1993-2003,Michael W. Smith,[],https://i.scdn.co/image/ab67616d00001e024de8dc82cfb99aec551da1e2,https://i.scdn.co/image/ab67616d000048514de8dc82cfb99aec551da1e2,0.51,0.352,3,-8.388,1,0.0311,0.881,0.0,0.111,0.309,72.017,195133,1
66,5gUZgKtFX3vczXE8fItSxo,Tell Me I Was Dreaming,spotify:track:2wDNPdxYne20hok4QqmGZi,https://p.scdn.co/mp3-preview/9fb213e7f51202d9cc3c92589c4911cbb88bdd19?cid=8ea9544c774649e49a2c2e41feb74396,Greatest Hits: From the Beginning,Travis Tritt,[],https://i.scdn.co/image/ab67616d00001e0219b865587508f1482db68068,https://i.scdn.co/image/ab67616d0000485119b865587508f1482db68068,0.457,0.352,5,-9.524,1,0.0247,0.322,0.000205,0.0681,0.208,71.479,292600,4
67,5gUZgKtFX3vczXE8fItSxo,You Can Close Your Eyes,spotify:track:3NmiHiYfWmaVkNByF705Ni,,Mud Slide Slim and the Blue Horizon,James Taylor,[],https://i.scdn.co/image/ab67616d00001e02e66a4783b05b96bb36ebbd51,https://i.scdn.co/image/ab67616d00004851e66a4783b05b96bb36ebbd51,0.534,0.0977,0,-22.633,0,0.0314,0.537,0.000149,0.113,0.36,134.788,149667,4
68,5gUZgKtFX3vczXE8fItSxo,Who You'd Be Today,spotify:track:5Vkdh8GfdXmwyJjzPewMWM,https://p.scdn.co/mp3-preview/7a54bb555a953f9a64f78e0d8e2137cce8b118ca?cid=8ea9544c774649e49a2c2e41feb74396,The Road And The Radio,Kenny Chesney,[],https://i.scdn.co/image/ab67616d00001e028839aef904bc72afd1cb1082,https://i.scdn.co/image/ab67616d000048518839aef904bc72afd1cb1082,0.646,0.431,2,-9.287,1,0.029,0.149,0.000428,0.108,0.248,145.855,254573,4
69,5gUZgKtFX3vczXE8fItSxo,One Sweet Day,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,https://p.scdn.co/mp3-preview/2395b7ab0950e061e0ddceca045de813c2d5e856?cid=8ea9544c774649e49a2c2e41feb74396,Daydream,Mariah Carey,[],https://i.scdn.co/image/ab67616d00001e02749e9bfa78277f30ad2c9a9c,https://i.scdn.co/image/ab67616d00004851749e9bfa78277f30ad2c9a9c,0.568,0.495,1,-8.964,1,0.0299,0.353,0.0,0.0839,0.303,128.234,281067,4
