,PlaylistName,PlaylistURL,PlaylistID,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
32,Funeral Music Classical,https://open.spotify.com/playlist/2bRCcH3b711etpDVkEZ5n0,2bRCcH3b711etpDVkEZ5n0,Huw Parkman,https://open.spotify.com/user/huwparkman,84,,False,https://mosaic.scdn.co/640/ab67616d0000b273afdce4ae96134154a4b0ba17ab67616d0000b273b53f32721edc9342e6756896ab67616d0000b273d7bce1b0a4b8c9203d666fe2ab67616d0000b273f126b5a1693a25b14396ad94
33,Christian Funeral Songs,https://open.spotify.com/playlist/4RqamCTi1twuLpTUgv5GzG,4RqamCTi1twuLpTUgv5GzG,jcarbajal777,https://open.spotify.com/user/jcarbajal777,11,,False,https://mosaic.scdn.co/640/ab67616d0000b2731a1eea01889569fbac8cbc5dab67616d0000b2733deaee5f76ab2da15dd8db86ab67616d0000b273476ef6d68f53bfec496f30f5ab67616d0000b2736cdb7a72bbf98fe789c5c516
34,Funeral Spanish Songs,https://open.spotify.com/playlist/3519WML1dThPlaPZ52Bo60,3519WML1dThPlaPZ52Bo60,Nancyhonorato,https://open.spotify.com/user/4qvzvzyy5eq9zfpe23xss5ykq,67,,False,https://mosaic.scdn.co/640/ab67616d0000b273630335a9304871f6413fa408ab67616d0000b273648367a8508aca3e64136e33ab67616d0000b273ad4a0b7c80c4fee4cc466223ab67616d0000b273b8fec44980ac9ec471ec7d72
35,Funeral Home Music,https://open.spotify.com/playlist/6qWi88SDrmFhC4R7CRjCmb,6qWi88SDrmFhC4R7CRjCmb,Stephanie Powell,https://open.spotify.com/user/spowell9896,91,Music that can be played while at the Funeral Home,False,https://mosaic.scdn.co/640/ab67616d0000b273a721f55390fdda1a6159b502ab67616d0000b273b6dc99f7c6b5a8f789280bd6ab67616d0000b273e02efac08ac8204ddbc3b741ab67616d0000b273eb471257bea34011873cfd4a
36,Funeral Doom,https://open.spotify.com/playlist/4ULAXhmM4sKF3s0twupXFT,4ULAXhmM4sKF3s0twupXFT,asgorath,https://open.spotify.com/user/asgorath,93,"Curated list of Funeral Doom Metal and closely releated music. A playlist of songs, not entire albums. Slow, slower, slowest. Sadly various classic&#x27;s could not be included because they are not on Spotify.",False,https://images-ak.spotifycdn.com/image/ab67706c0000bebbd5ec4de72ceb2e824e704dbf
37,Funeral Entrance Music,https://open.spotify.com/playlist/10v0mIiPjA1yXyce7SFZut,10v0mIiPjA1yXyce7SFZut,Shelley,https://open.spotify.com/user/wqbongps1v3mbh0spelg7cpm8,65,,False,https://mosaic.scdn.co/640/ab67616d0000b2733095cc2cb7ce3079685d4787ab67616d0000b27330aafcb78b954af9e200e6b4ab67616d0000b273b737b71136013607b229f4e1ab67616d0000b273deac5adf07affb5fec422701
38,Funeral sad songs ⚰,https://open.spotify.com/playlist/3thnlMfhteeOB60W1vHXjw,3thnlMfhteeOB60W1vHXjw,alanis1419,https://open.spotify.com/user/alanis1419,45,,False,https://mosaic.scdn.co/640/ab67616d0000b273279683be25f4e12a52a13b71ab67616d0000b273570fb270ebced7d75338d493ab67616d0000b2736b80f812538bb20654be4aafab67616d0000b273bc4ab4b3286e4278af03624e
39,Country Funeral Songs,https://open.spotify.com/playlist/7q34hxXlAHyUm2OWjtZMlE,7q34hxXlAHyUm2OWjtZMlE,Luke Newman,https://open.spotify.com/user/hh8owaog83ydrp066xrwadb61,34,,False,https://mosaic.scdn.co/640/ab67616d0000b27360b7fabb31649efa9427ffdcab67616d0000b2736217585c07b7417999f03d92ab67616d0000b273638164cc8778088460142f81ab67616d0000b27376d5286cfba206a1aa2966e2
40,Funeral Organ Music,https://open.spotify.com/playlist/2U1bR1ddVev8i061etM82D,2U1bR1ddVev8i061etM82D,Timothy Muller,https://open.spotify.com/user/11100123687,10,,False,https://mosaic.scdn.co/640/ab67616d0000b27341aa8ac0010898394ed07099ab67616d0000b2737ddbda023dd2f140985ab25bab67616d0000b27386cafc5fc1fbd3e9fed99901ab67616d0000b273f7d08006527548f5ccbb5fe9
41,Funeral/I Shall Wear a Crown,https://open.spotify.com/playlist/3MQK8gwcE0oCV8NdgUp0nO,3MQK8gwcE0oCV8NdgUp0nO,Owens,https://open.spotify.com/user/mhg1y607z02fbkct26p1ho9fa,122,,False,https://mosaic.scdn.co/640/ab67616d0000b27309799d5ca0894ebd9152406fab67616d0000b27372ebfd8004d00642eba48c6bab67616d0000b273b578fc8bbf5e24f59df7a307ab67616d0000b273ed26d7c27fd8995ea3990e45
42,This Is Dark Funeral,https://open.spotify.com/playlist/37i9dQZF1DZ06evO18Yq6G,37i9dQZF1DZ06evO18Yq6G,Spotify,https://open.spotify.com/user/spotify,48,"This is Dark Funeral. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO18Yq6G-large.jpg
43,Funeral Classical/hymns,https://open.spotify.com/playlist/2oSYuYVE2PVSE173KgCfLQ,2oSYuYVE2PVSE173KgCfLQ,Steve Cal,https://open.spotify.com/user/kf0qltlyc41dklgdxascmor2u,210,,False,https://mosaic.scdn.co/640/ab67616d0000b27320b46b17e42a5c170462ccdeab67616d0000b2735a8b093589cbaf99a26c3944ab67616d0000b273d2a6132e686a4219aab3fdf7ab67616d0000b273ee2d0de3cff4fcdcff65253f
44,Funeral da Porca 2023 #Roinc 🐷,https://open.spotify.com/playlist/1yfVfNTr8D4FWrwykV0g9d,1yfVfNTr8D4FWrwykV0g9d,Filipe Indy,https://open.spotify.com/user/12142151277,42,,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb19aed420b8af700823de0947
45,This Is Funeral Oration,https://open.spotify.com/playlist/37i9dQZF1DZ06evO24k2c5,37i9dQZF1DZ06evO24k2c5,Spotify,https://open.spotify.com/user/spotify,27,"This is Funeral Oration. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO24k2c5-large.jpg
46,This Is Funeral Winds,https://open.spotify.com/playlist/37i9dQZF1DZ06evO25o6vn,37i9dQZF1DZ06evO25o6vn,Spotify,https://open.spotify.com/user/spotify,50,"This is Funeral Winds. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO25o6vn-large.jpg
47,This Is Funeral Dress,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3Yyjuw,37i9dQZF1DZ06evO3Yyjuw,Spotify,https://open.spotify.com/user/spotify,50,"This is Funeral Dress. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO3Yyjuw-large.jpg
48,This Is The Co-Operative Funeralcare Band,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0rPgut,37i9dQZF1DZ06evO0rPgut,Spotify,https://open.spotify.com/user/spotify,19,"This is The Co-Operative Funeralcare Band. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO0rPgut-large.jpg
49,This Is La Funeraria,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4B8nW9,37i9dQZF1DZ06evO4B8nW9,Spotify,https://open.spotify.com/user/spotify,35,"This is La Funeraria. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO4B8nW9-large.jpg
